,traders.co.jp_url,銘柄名,銘柄ID,前日終値,PER,PBR,時価総額,発行済株数,自己資本比率,200日移動平均,200日移動平均乖離率,13週移動平均,13週移動平均乖離率
121,https://www.traders.co.jp/stocks/62_7571/,ヤマノホールディングス,7571,60,14.96,1.8,2150000000,36000000,0.1253,58.0,-0.033333333333333326,59.0,-0.01666666666666672
122,https://www.traders.co.jp/stocks/62_7578/,ニチリョク,7578,122,7.17,0.43,1866000000,15000000,,117.0,-0.040983606557377095,116.0,-0.049180327868852514
123,https://www.traders.co.jp/stocks/62_7601/,ポプラ,7601,148,13.94,-4.1,1756000000,12000000,-0.1027,145.0,-0.020270270270270285,147.0,-0.006756756756756799
124,https://www.traders.co.jp/stocks/62_7610/,テイツー,7610,155,11.61,1.85,10162000000,69000000,0.5223,94.0,-0.3935483870967742,122.0,-0.2129032258064516
125,https://www.traders.co.jp/stocks/62_7624/,ＮａＩＴＯ,7624,153,15.24,0.68,8383000000,55000000,0.7117,169.0,0.10457516339869288,163.0,0.065359477124183
126,https://www.traders.co.jp/stocks/62_7647/,音通,7647,26,48.08,1.75,5079000000,203000000,0.47369999999999995,27.0,0.03846153846153855,27.0,0.03846153846153855
127,https://www.traders.co.jp/stocks/62_7746/,岡本硝子,7746,143,27.77,2.31,3333000000,23000000,0.1678,139.0,-0.027972027972028024,143.0,0.0
128,https://www.traders.co.jp/stocks/62_7771/,日本精密,7771,81,15.96,1.29,1757000000,22000000,0.2195,68.0,-0.16049382716049387,75.0,-0.07407407407407407
129,https://www.traders.co.jp/stocks/63_7776/,セルシード,7776,131,,2.94,2947000000,22000000,0.7206,147.0,0.12213740458015265,142.0,0.08396946564885499
130,https://www.traders.co.jp/stocks/62_7795/,ＫＹＯＲＩＴＳＵ,7795,120,5.88,,5882000000,49000000,,,,,
131,https://www.traders.co.jp/stocks/62_7810/,クロスフォー,7810,200,34.48,1.61,3537000000,18000000,0.4039,186.0,-0.06999999999999995,198.0,-0.010000000000000009
132,https://www.traders.co.jp/stocks/63_7829/,サマンサタバサジャパンリミテッド,7829,102,67.11,6.36,6717000000,66000000,0.10830000000000001,111.0,0.08823529411764697,105.0,0.02941176470588225
133,https://www.traders.co.jp/stocks/62_7831/,ウイルコホールディングス,7831,136,13.48,0.57,3377000000,25000000,0.4475,145.0,0.06617647058823528,139.0,0.022058823529411686
134,https://www.traders.co.jp/stocks/62_7836/,アビックス,7836,73,264.29,1.85,2600000000,35000000,0.5974,82.0,0.12328767123287676,73.0,0.0
135,https://www.traders.co.jp/stocks/62_7897/,ホクシン,7897,144,10.47,0.71,4086000000,28000000,0.4142,157.0,0.09027777777777768,147.0,0.02083333333333326
136,https://www.traders.co.jp/stocks/61_7918/,ヴィア・ホールディングス,7918,128,,-1.0,4410000000,35000000,0.2662,146.0,0.140625,137.0,0.0703125
137,https://www.traders.co.jp/stocks/62_7919/,野崎印刷紙業,7919,113,12.64,0.57,2446000000,22000000,0.3284,113.0,0.0,119.0,0.053097345132743445
138,https://www.traders.co.jp/stocks/62_7992/,セーラー万年筆,7992,167,982.35,1.21,4953000000,30000000,0.2982,174.0,0.041916167664670656,171.0,0.0239520958083832
139,https://www.traders.co.jp/stocks/62_8105/,堀田丸正,8105,50,162.5,0.95,3101000000,60000000,0.8087000000000001,51.0,0.020000000000000018,52.0,0.040000000000000036
140,https://www.traders.co.jp/stocks/62_8107/,キムラタン,8107,22,,16.15,4014000000,191000000,0.0379,21.0,-0.045454545454545414,21.0,-0.045454545454545414
141,https://www.traders.co.jp/stocks/62_8166/,タカキュー,8166,80,,-1.24,1958000000,25000000,,94.0,0.17500000000000004,81.0,0.012499999999999956
142,https://www.traders.co.jp/stocks/62_8256/,プロルート丸光,8256,102,346.67,4.75,3439000000,33000000,0.21289999999999998,114.0,0.11764705882352944,103.0,0.009803921568627416
143,https://www.traders.co.jp/stocks/61_8338/,筑波銀行,8338,188,4.93,0.17,15272000000,153000000,0.0352,195.0,0.037234042553191404,191.0,0.015957446808510634
144,https://www.traders.co.jp/stocks/62_8705/,日産証券グループ,8705,132,15.21,0.62,7631000000,58000000,0.13419999999999999,134.0,0.015151515151515138,132.0,0.0
145,https://www.traders.co.jp/stocks/62_8746/,第一商品,8746,132,,0.73,3732000000,29000000,0.4954,149.0,0.1287878787878789,139.0,0.05303030303030298
146,https://www.traders.co.jp/stocks/62_8783/,ＧＦＡ,8783,123,,11.43,4653000000,38000000,0.2726,118.0,-0.04065040650406504,128.0,0.04065040650406515
147,https://www.traders.co.jp/stocks/62_8789/,フィンテック　グローバル,8789,54,10.26,1.56,10266000000,201000000,0.36729999999999996,42.0,-0.2222222222222222,42.0,-0.2222222222222222
148,https://www.traders.co.jp/stocks/62_8836/,ＲＩＳＥ,8836,21,,-1.11,2016000000,102000000,0.8482999999999999,21.0,0.0,20.0,-0.04761904761904767
149,https://www.traders.co.jp/stocks/62_8894/,ＲＥＶＯＬＵＴＩＯＮ,8894,14,,3.61,5600000000,405000000,0.7544,16.0,0.1428571428571428,15.0,0.0714285714285714
150,https://www.traders.co.jp/stocks/62_8912/,エリアクエスト,8912,103,17.53,1.21,2126000000,20000000,0.4481,95.0,-0.07766990291262132,99.0,-0.03883495145631066
151,https://www.traders.co.jp/stocks/62_8918/,ランド,8918,9,8.57,1.88,12969000000,1441000000,0.8625,10.0,0.11111111111111116,10.0,0.11111111111111116
152,https://www.traders.co.jp/stocks/62_8927/,明豊エンタープライズ,8927,182,8.72,0.77,4464000000,25000000,0.3954,185.0,0.016483516483516425,181.0,-0.005494505494505475
153,https://www.traders.co.jp/stocks/62_8946/,ＡＳＩＡＮ　ＳＴＡＲ,8946,83,22.84,0.95,1583000000,19000000,0.5327000000000001,79.0,-0.048192771084337394,80.0,-0.03614457831325302
154,https://www.traders.co.jp/stocks/62_9263/,ビジョナリーホールディングス,9263,188,17.57,2.01,7131000000,38000000,0.2045,167.0,-0.11170212765957444,197.0,0.0478723404255319
155,https://www.traders.co.jp/stocks/62_9318/,アジア開発キャピタル,9318,3,,2.58,6244000000,1561000000,0.3224,6.0,1.0,5.0,0.6666666666666667
